Year,Category,Nominee,Additional Info,Won
1995,Actor - Leading Role,Nigel Hawthorne,The Madness of King George,No
1995,Actor - Leading Role,Paul Newman,Nobody's Fool,No
1995,Actor - Leading Role,Tom Hanks,Forrest Gump,Yes
1995,Actor - Supporting Role,Chazz Palminteri,Bullets over Broadway,No
1995,Actor - Supporting Role,Gary Sinise,Forrest Gump,No
1995,Actor - Supporting Role,Martin Landau,Ed Wood,Yes
1995,Actor - Supporting Role,Paul Scofield,Quiz Show,No
1995,Actor - Supporting Role,Samuel L Jackson,Pulp Fiction,No
1995,Actress - Leading Role,Jessica Lange,Blue Sky,Yes
1995,Actress - Leading Role,Jodie Foster,Nell,No
1995,Actress - Leading Role,Miranda Richardson,Tom Viv,No
1995,Actress - Leading Role,Susan Sarandon,The Client,No
1995,Actress - Leading Role,Winona Ryder,Little Women,No
1995,Actress - Supporting Role,Dianne Wiest,Bullets over Broadway,Yes
1995,Actress - Supporting Role,Helen Mirren,The Madness of King George,No
1995,Actress - Supporting Role,Jennifer Tilly,Bullets over Broadway,No
1995,Actress - Supporting Role,Rosemary Harris,Tom Viv,No
1995,Actress - Supporting Role,Uma Thurman,Pulp Fiction,No
1995,Best Picture,Forrest Gump,NONE,Yes
1995,Best Picture,Four Weddings and a Funeral,NONE,No
1995,Best Picture,Pulp Fiction,NONE,No
1995,Best Picture,Quiz Show,NONE,No
1995,Best Picture,The Shawshank Redemption,NONE,No
1995,Cinematography,Forrest Gump,NONE,No
1995,Cinematography,Legends of the Fall,NONE,Yes
1995,Cinematography,Red,NONE,No
1995,Cinematography,The Shawshank Redemption,NONE,No
1995,Cinematography,Wyatt Earp,NONE,No
1995,Costume Design,Bullets over Broadway,NONE,No
1995,Costume Design,Little Women,NONE,No
1995,Costume Design,Maverick,NONE,No
1995,Costume Design,Queen Margot,NONE,No
1995,Costume Design,The Adventures of Priscilla Queen of the Desert,NONE,Yes
1995,Director,Bullets over Broadway,NONE,No
1995,Director,Forrest Gump,NONE,Yes
1995,Director,Pulp Fiction,NONE,No
1995,Director,Quiz Show,NONE,No
1995,Director,Red,NONE,No
1995,Documentary,89mm od Europy,NONE,No
1995,Documentary,A Great Day in Harlem,NONE,No
1995,Documentary,A Time for Justice,NONE,No
1995,Documentary,Blues Highway,NONE,No
1995,Documentary,Complaints of a Dutiful Daughter,NONE,No
1995,Documentary,D Day Remembered,NONE,No
1995,Documentary,Freedom on My Mind,NONE,No
1995,Documentary,Maya Lin A Strong Clear Vision,NONE,Yes
